

Algoritmo de Entropia Cruzada com a funcao de Ratrigin

Time, Iteracoes, x1, x2
53.8575, 50, -3.7496915849163506e-09, -2.6286408827267036e-10
64.828, 50, -3.749725360577421e-09, -5.184284291712291e-10
50.9095, 50, -3.749814091351642e-09, 2.043134468333472e-11
48.9144, 50, -3.7497485251626636e-09, 3.717690996881663e-10
56.8495, 50, -3.7497606027880655e-09, -6.183278068740198e-10
59.8708, 50, -3.7493847374373256e-09, 3.705346996306565e-10
50.8952, 50, -3.74968978901415e-09, 6.719926411311156e-10
49.897, 50, -3.749596761549858e-09, 4.662392706085596e-10
50.8971, 50, -3.749744433715213e-09, 2.492713445553013e-10
50.8638, 50, 0.9949586343162135, 3.7115123297474156e-10
58.8862, 50, -3.7497972171075695e-09, 1.066360564136818e-10
49.8992, 50, -3.749638588437341e-09, 5.121342117457727e-10
49.9112, 50, -3.7497273519366734e-09, -4.3932066573138364e-10
49.9105, 50, -3.749801695050789e-09, -5.036826379954943e-10
49.9096, 50, -3.7489875019302255e-09, 7.642517587960808e-11
58.8424, 50, -3.749758730547381e-09, -3.0042872673082417e-10
49.8997, 50, -3.749710699817252e-09, -8.197596273815374e-11
50.8948, 50, -3.7498028196303935e-09, 6.381934786101992e-10
52.8592, 50, -3.749650292282358e-09, -1.9052944531514712e-10
58.8417, 50, -3.749704956049933e-09, -6.77369526244952e-10
53.856, 50, -3.749561545359337e-09, 2.5058389493710455e-10
50.8635, 50, -3.749758782176547e-09, 4.5736361681892864e-10
51.8929, 50, -3.749711045781563e-09, -2.283458540685013e-10
50.8982, 50, -3.7496732826728605e-09, -5.7848217932434e-10
66.8222, 50, -3.749052834992851e-09, -5.376517538388143e-10
51.8917, 50, -3.749806467033745e-09, -1.7324402837382506e-10
49.8977, 50, -3.749798500951036e-09, 1.4847096530319102e-10
49.8972, 50, -3.749632629405016e-09, -1.7295190064331324e-10
58.8432, 50, -3.749753187526195e-09, -6.620047013382691e-10
51.8992, 50, -3.749785031121198e-09, 1.5310083359907912e-11
49.91, 50, -3.749615650979386e-09, -5.323682969719797e-10
50.9081, 50, -3.749796446535184e-09, 1.004402645073547e-09
50.9078, 50, -3.7486100347426254e-09, -7.32051802104885e-10
56.8932, 50, -3.749760688256115e-09, -4.832738216468794e-10
56.848, 50, -3.749801007517735e-09, -5.444912497828904e-10
49.8666, 50, -3.749785399541615e-09, 3.5745851083950747e-10
55.8522, 50, -3.7490449713950866e-09, 1.8103779193107866e-10
48.9012, 50, -3.748155856131268e-09, -8.406431731785153e-10
59.8726, 50, -3.749727407937675e-09, -7.596966709984782e-10
50.8943, 50, -3.749633468860665e-09, 1.1481412076916377e-10
49.8968, 50, -3.7489245621207355e-09, 4.965197486656696e-10
49.8983, 50, -3.749509544753902e-09, 3.27865187732833e-11
65.8247, 50, -3.749799752445774e-09, -5.138054780952639e-10
54.8547, 50, -3.749068995829946e-09, 1.1565085728374609e-10
49.8971, 50, -3.748751288953191e-09, -1.3062280933392438e-10
50.8631, 50, -3.747398981644614e-09, -5.472971697039417e-10
50.8631, 50, -3.749759601298804e-09, -2.7750637690133956e-10
60.8368, 50, -3.7497766197169166e-09, -2.4468712948600304e-10
54.8538, 50, -3.7494540818792275e-09, -1.0059126001318316e-09
52.8584, 50, -3.7495476180330355e-09, -1.832564943436226e-10
50.8949, 50, -3.749746387237952e-09, 1.5130667600752979e-10
57.891, 50, -3.749810600931364e-09, 5.70967100262695e-10
49.9108, 50, -3.74963347176233e-09, -1.2323936534576657e-09
49.9107, 50, -3.7486007699390285e-09, -6.619803789044152e-10
50.8635, 50, -3.749754452328517e-09, -8.216466335819153e-10
52.8913, 50, -3.748033328978683e-09, 5.303862613737436e-10
62.8771, 50, -3.749729296461124e-09, -4.989361928452886e-11
50.915, 50, -3.748915334633218e-09, 2.474591262502892e-10
49.8998, 50, -3.749602209989802e-09, -2.810832784132856e-10
49.9132, 50, -3.749796803311826e-09, -2.5745992462631568e-11
58.8751, 50, -3.749790161109207e-09, 3.0156897041684695e-10
41.8879, 50, 0.09686582490856818, 0.0031076470283303093
57.8444, 50, -3.74979934421542e-09, 2.3805941456242175e-10
62.8318, 50, -3.7497821355114226e-09, 3.836595410827622e-11
49.8982, 50, -3.749694839190852e-09, -7.6537970406257e-10
59.8859, 50, -3.749477324806715e-09, 9.318680327952481e-10
56.8485, 50, -3.7498056658713756e-09, 2.5963366042386454e-10
51.8624, 50, -3.749629928742688e-09, 1.3537022485590776e-10
56.8472, 50, -3.749802674522339e-09, 2.496814489079089e-10
49.9004, 50, -3.749309104219108e-09, -8.603136408617272e-10
58.8453, 50, -3.749684305988741e-09, -5.116444236233657e-10
49.898, 50, -3.749703067630817e-09, -4.5352862779261196e-10
49.9109, 50, -3.749795576760016e-09, 1.6884548321816046e-10
49.9127, 50, -3.749769444474487e-09, 7.251523305044854e-11
57.8908, 50, -3.7493440516459974e-09, -2.7812880221694204e-10
49.912, 50, -3.749219377812355e-09, -3.174598721565232e-10
48.9137, 50, -3.7488348418936e-09, -2.0986499029540746e-10
50.908, 50, -3.749701220415602e-09, 1.5355442678477583e-10
49.8676, 50, -3.7496374879886815e-09, -3.86719183351674e-10
58.8871, 50, -3.749677844636325e-09, 7.12629084012136e-10
52.9041, 50, -3.749792454513972e-09, 7.698224423878876e-10
49.9104, 50, -3.746820737364994e-09, 1.8846489829928013e-10
49.8973, 50, -3.7496013255182266e-09, 6.590890419808014e-10
58.8738, 50, 0.9949586342852629, -6.270312806832056e-10
