Algoritmo de Entropia Cruzada com a funcao de Ackley

Time, Iteracoes, x1, x2
7.0106, 26, -1.8504473721759054e-16, -8.375143819399739e-17
7.9788, 29, -1.926708337459544e-15, 1.657821357478399e-17
5.9848, 25, -2.037607342352391e-16, -4.110495359510445e-17
7.0114, 28, -1.2036908433485882e-15, 3.38421304085007e-16
6.9815, 29, -1.9080085691986537e-15, 7.453482137511268e-17
6.0181, 26, -1.644630253337759e-15, -7.792773945149405e-17
6.9809, 26, -8.042231289200498e-17, -2.0608800171793017e-17
6.0131, 24, -1.1663692735772955e-16, -4.142971019210483e-17
7.0114, 26, -3.04376983213267e-16, 2.923249243600673e-18
7.015, 28, -1.922554854157994e-15, 1.8901939048858187e-17
7.015, 27, -1.904429440743322e-15, 3.2790980462532125e-17
7.0173, 26, -2.9030269030789287e-16, 2.989234789389572e-17
6.017, 26, -2.9806005779148873e-16, -2.3020467842482426e-17
8.0105, 29, -1.8958822762273334e-15, 9.587524835693526e-17
7.9804, 27, -1.766072182256951e-15, -4.2993236600720447e-16
6.9791, 26, -4.3515885604154845e-16, 1.1348197401279743e-17
6.9796, 26, -1.2601129973612951e-15, -5.160743199645751e-17
8.0129, 27, 7.134348645593531e-17, 6.757415915927331e-17
5.9839, 25, -1.3179839202713866e-16, 8.906616101225406e-17
8.0112, 29, -1.4650733380262035e-15, -6.409369147528584e-17
7.9792, 31, -1.9180830137580553e-15, 3.690701249200778e-17
6.0142, 26, -9.332383382042006e-16, -2.1081720123240455e-17
7.0108, 28, -1.8844098790563648e-15, 1.4629112408324547e-16
